epoch	loss	mean_absolute_error	val_loss	val_mean_absolute_error
0	0.08906745893397817	0.08906745986530075	0.08566129717251493	0.08566129717251493
1	0.06968918530684379	0.06968918534133721	0.07610247105670472	0.07610247105670472
2	0.06566729141330277	0.0656672916892502	0.07500566605961433	0.07500566605961433
3	0.06388064120309772	0.06388064104787729	0.07002875294225912	0.07002875294225912
4	0.062037881584493096	0.06203788139477924	0.06603127962875145	0.06603127962875145
5	0.05916551643706582	0.05916551681649354	0.060138846238799115	0.060138846238799115
6	0.056729279898314014	0.056729279881067296	0.056871805900569866	0.056871805900569866
7	0.05340470504705553	0.053404704986692024	0.05293542122537339	0.05293542122537339
8	0.05061968726416429	0.05061968779018908	0.05112520754509778	0.05112520754509778
9	0.047869581229018944	0.04786958177229045	0.050885918351856095	0.050885918351856095
0	0.04714019049855846	0.04714019137814089	0.049002628122387384	0.049002628122387384
1	0.04507790538654835	0.0450779068870125	0.0452592232980317	0.0452592232980317
2	0.0437903154330949	0.043790316597248115	0.04608173052245682	0.04608173052245682
3	0.04301267087942472	0.0430126725351093	0.04448368827191492	0.04448368827191492
4	0.04268734854715014	0.04268735034080843	0.04498153533872769	0.04498153533872769
5	0.04210816713532916	0.04210816889449402	0.043359614214514966	0.043359614214514966
6	0.0408201784895802	0.04082018005040785	0.04239221540693608	0.04239221540693608
7	0.04042909071021886	0.04042909278844794	0.043480376738847956	0.043480376738847956
8	0.04006393778965705	0.0400639399541197	0.04245289462549543	0.04245289462549543
9	0.03937954851426184	0.03937955071321792	0.03971945641010448	0.03971945641010448
10	0.039492750005727564	0.039492752178813574	0.0409369884852182	0.0409369884852182
11	0.03841036462431981	0.038410367245820386	0.03953698381816072	0.03953698381816072
12	0.03873788326530269	0.03873788575745291	0.040282995302092145	0.040282995302092145
13	0.038143929507997304	0.038143931758693524	0.03914468498314144	0.03914468498314144
14	0.037874232408487134	0.03787423504723443	0.039769863282951214	0.039769863282951214
15	0.037748933821502656	0.037748936063575524	0.04149419916103835	0.04149419916103835
16	0.03781562391668558	0.03781562646057595	0.03952664486994898	0.03952664486994898
